         1850643 function calls (1742367 primitive calls) in 1.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  207/204    0.000    0.000    0.141    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:614(generic)
  207/204    0.001    0.000    0.140    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:705(_get_impl)
  164/116    0.001    0.000    0.139    0.001 <frozen importlib._bootstrap>:1165(_find_and_load)
    93/45    0.000    0.000    0.138    0.003 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   240/54    0.000    0.000    0.133    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    15/14    0.000    0.000    0.130    0.009 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:756(_build_impl)
      9/5    0.000    0.000    0.129    0.026 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\types\functions.py:531(get_call_type)
      9/5    0.000    0.000    0.129    0.026 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\dispatcher.py:304(get_call_template)
    89/45    0.000    0.000    0.128    0.003 <frozen importlib._bootstrap>:666(_load_unlocked)
        5    0.000    0.000    0.126    0.025 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir_utils.py:1541(simplify)
    86/44    0.000    0.000    0.125    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
       15    0.000    0.000    0.123    0.008 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:727(add_linking_library)
    58/38    0.000    0.000    0.119    0.003 {built-in method builtins.__import__}
   107/95    0.000    0.000    0.116    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:664(lower_assign)
    61/56    0.000    0.000    0.111    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:1242(lower_expr)
    87/45    0.001    0.000    0.111    0.002 {built-in method builtins.exec}
    42/39    0.000    0.000    0.093    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:1189(__call__)
       14    0.000    0.000    0.093    0.007 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:731(add_ir_module)
    42/39    0.000    0.000    0.093    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:1218(wrapper)
   290/45    0.000    0.000    0.085    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\context.py:152(refresh)
    13/11    0.000    0.000    0.078    0.007 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:914(lower_call)
    13/11    0.000    0.000    0.077    0.007 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:1214(_lower_call_normal)
        1    0.000    0.000    0.074    0.074 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typed_passes.py:352(run_pass)
        1    0.000    0.000    0.074    0.074 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:2953(run)
        1    0.000    0.000    0.073    0.073 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\np\arrayobj.py:5016(_array_copy)
